song_id,title,artist_name,duration,year,tempo,key,category
SOOAUWY12A8C14301D,Althea Cooley,Mack and Jamie,27.6371,0,118.668,9,Unknown
SOGUTKT12A8C1442E4,Merry-Go-Runaround,Bob Hope,147.722,1999-03-20,133.325,8,Unknown
SOCORMS12A67AE124F,Devil's Daughter,Eric Burdon,262.97424,Unknown,80.031,5,Unknown
SOPWHEV12AB017DC10,Don't Know How To Be,God Lives Underwater,215.40526,1995-09-12,169.966,2,Unknown
SORWVEZ12A8C13C031,ONE WAY LOVE,An Cafe,276.13995,0,152.988,6,Unknown
SOYHZYO12A8C1391D8,Yearning Just For You,Bob Wills,160.26077,1938-11-29,88.301,2,Unknown
SOLXDDC12A6701FBFD,I'm Back,Eminem,312.2673,Unknown,180.168,11,Unknown
SOAOFAT12AB018975D,Sincerely,Don & Juan,148.16608,0,98.442,2,Unknown
SOUJQJI12AB0183C80,Canción De Títeres,María Elena Walsh,114.80771,1963,111.104,1,Unknown
SOITIZR12A8C13BA50,Wartime Blues,Blind Lemon Jefferson,185.41669,1927-02,162.496,10,Unknown
SOBEXVO12AB0180C53,O.T. (Skit),Cam'Ron,24.73751,2004-12-07,215.0,7,Unknown
SOVLRKB12AC4687C3B,World Destruction (2005 Digital Remaster),Time Zone,233.63873,0,92.499,7,Unknown
SOWMHFS12AB017F85E,Change Your Mind,KMD,239.12444,0,119.961,4,Unknown
SOQUAKN12A8AE486C2,La Fruta Bomba,Fruko Y Sus Tesos,242.75546,2000-10-10,84.751,8,Unknown
SOCZUUF12A58A7BE8C,Wildflower,Bon Jovi,253.83138,2005-09-14,93.044,7,Unknown
SOIMAKW12AB01887BF,Dolores,The Merry Macs,194.84689,0,71.27,8,Unknown
SOAGEUK12A8C137581,Only You,Nana Mouskouri,175.12444,1997,137.476,2,Unknown
SOGEWLT12AB018A185,Theme From the Victors,Frank Chacksfield,142.65424,0,95.611,3,Unknown
SOMQKIK12AB01824F5,Na Primeira Manhã,Alceu Valença,162.84689,1997,121.988,0,Unknown
SOFCFGG12A6D4FB5F8,Covered (The Beauty Of Simplicity Album Version),Telecast,197.98159,0,84.951,4,Unknown
SOBZUIG12A8AE48C94,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),Twista,259.70893,2005,124.734,1,Unknown
SOGUUTM12A58A7AAD9,From the Gardner Meditations: African Tarantella,Stefon Harris,538.27873,2006,70.875,1,Unknown
SOKLDSG12AB0188032,Song For Paul,Alex Gopher,164.0224,2007,80.012,4,Unknown
SORKPES12A8C137BFA,I'd Rather Have Jesus,Loretta Lynn,161.48853,1965,79.181,8,Unknown
SOWKNZT12AC4688FC9,Beautiful Lies,Eddie,317.962,0,153.942,7,Unknown
SOTLKVX12A8C13BE9F,Alma De Metal,Bobby Pulido,216.31955,1999-03-23,100.252,9,Unknown
SOBDGEJ12A8C13F71A,Miesten tähden,Rauni Pekkala,162.14159,2007-12-10,93.657,1,Unknown
SOGRXZY12A8C139043,Thrill Me,Simply Red,303.96036,2000,93.975,2,Unknown
SOASNQV12A8AE48819,Charly (Trip Into Drum And Bass Version) (Remastered),The Prodigy,312.86812,0,96.732,1,Unknown
SOLRVTS12A8C139D5B,Werther - Lyric Drama in four Acts/Act III/Toute mon âme est là,Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,333.92281,0,158.715,6,Unknown
SOUDEWA12AB018532F,Toby,The Chi Lites,170.70975,1996,149.394,8,Unknown
SONWSOW12A8C13BC80,Danny's All-Star Joint (LP Version),Rickie Lee Jones,246.62159,1979,143.497,1,Unknown
SOWDGVW12A8C13B9B7,Meteor Of War (Album Version),Rancid,81.10975,0,168.752,1,Unknown
SOBHYLB12A8C1424C4,I Love No One But You,Don Gibson,169.63873,1965,123.531,4,Unknown
SOILNCG12A6D4F9D6C,Tem Do de Mim (Live At El Matador_ San Francisco),Sergio Mendes,161.59302,0,179.609,7,Unknown
SOCBUSG12AB0180568,Two Guitars Shuffle (take 1),Lonnie Brooks,351.73832,Unknown,124.471,9,Unknown
SOUGTLE12A8C14547F,Kangaroo Blues,Moon Mullican,173.24363,0,95.278,7,Unknown
SOFPFTF12A8C14172C,Elementro,TEN MADISON,405.41995,2003-10-27,92.699,11,Unknown
SOCRSPK12A8C142FF8,Listen,Mykill Miers,236.5122,2006,91.16,11,Unknown
SOXDBMM12A6D4F9C58,Arise_ My Love (Song Of Solomon),Michael Card,208.50893,0,93.542,9,Unknown
SOSUVLO12A8AE487E6,Shame,Anna Abreu,205.45261,2007,143.864,4,Unknown
SOHEWXI12AB018960E,Salvation,Chroma Key,160.31302,2004,120.091,4,Unknown
SODUSRP12A6D4FA762,Till There Was You (John Creamer & Stephane K Remix),Rachael Starr,608.23465,2005,127.996,11,Unknown
SOCYTTZ12A8C1316EC,What If I Forget The Champagne,Stanley Clarke,312.76363,1998,123.352,7,Unknown
SOQMROZ12AF729B758,In Fate's Hands (Album Version),The Red Jumpsuit Apparatus,208.79628,2006,199.004,0,Unknown
SOFUNWZ12AB01831A9,A história do incêndio do jequitibá de Carangola (Part 1),Hélio Ziskind,143.67302,0,128.636,6,Unknown
