song_id,title,artist_name,duration,year,tempo,key,is_valid
SOOAUWY12A8C14301D,Althea Cooley,Mack and Jamie,27.6371,0,118.668,9,False
SOGUTKT12A8C1442E4,Merry-Go-Runaround,Bob Hope,147.722,1999,133.325,8,True
SOCORMS12A67AE124F,Devil's Daughter,Eric Burdon,262.97424,0,80.031,5,False
SOPWHEV12AB017DC10,Don't Know How To Be,God Lives Underwater,215.40526,1995,169.966,2,True
SORWVEZ12A8C13C031,ONE WAY LOVE,An Cafe,276.13995,0,152.988,6,False
SOYHZYO12A8C1391D8,Yearning Just For You,Bob Wills,160.26077,1938,88.301,2,True
SOLXDDC12A6701FBFD,I'm Back,Eminem,312.2673,0,180.168,11,False
SOAOFAT12AB018975D,Sincerely,Don & Juan,148.16608,0,98.442,2,False
SOUJQJI12AB0183C80,Canción De Títeres,María Elena Walsh,114.80771,1963,111.104,1,True
SOITIZR12A8C13BA50,Wartime Blues,Blind Lemon Jefferson,185.41669,1927,162.496,10,True
SOBEXVO12AB0180C53,O.T. (Skit),Cam'Ron,24.73751,2004,215.0,7,True
SOVLRKB12AC4687C3B,World Destruction (2005 Digital Remaster),Time Zone,233.63873,0,92.499,7,False
SOWMHFS12AB017F85E,Change Your Mind,KMD,239.12444,0,119.961,4,False
SOQUAKN12A8AE486C2,La Fruta Bomba,Fruko Y Sus Tesos,242.75546,2000,84.751,8,True
SOCZUUF12A58A7BE8C,Wildflower,Bon Jovi,253.83138,2005,93.044,7,True
SOIMAKW12AB01887BF,Dolores,The Merry Macs,194.84689,0,71.27,8,False
SOAGEUK12A8C137581,Only You,Nana Mouskouri,175.12444,1997,137.476,2,True
SOGEWLT12AB018A185,Theme From the Victors,Frank Chacksfield,142.65424,0,95.611,3,False
SOMQKIK12AB01824F5,Na Primeira Manhã,Alceu Valença,162.84689,1997,121.988,0,True
SOFCFGG12A6D4FB5F8,Covered (The Beauty Of Simplicity Album Version),Telecast,197.98159,0,84.951,4,False
SOBZUIG12A8AE48C94,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),Twista,259.70893,2005,124.734,1,True
SOGUUTM12A58A7AAD9,From the Gardner Meditations: African Tarantella,Stefon Harris,538.27873,2006,70.875,1,True
SOKLDSG12AB0188032,Song For Paul,Alex Gopher,164.0224,2007,80.012,4,True
SORKPES12A8C137BFA,I'd Rather Have Jesus,Loretta Lynn,161.48853,1965,79.181,8,True
SOWKNZT12AC4688FC9,Beautiful Lies,Eddie,317.962,0,153.942,7,False
SOTLKVX12A8C13BE9F,Alma De Metal,Bobby Pulido,216.31955,1999,100.252,9,True
SOBDGEJ12A8C13F71A,Miesten tähden,Rauni Pekkala,162.14159,2007,93.657,1,True
SOGRXZY12A8C139043,Thrill Me,Simply Red,303.96036,2000,93.975,2,True
SOASNQV12A8AE48819,Charly (Trip Into Drum And Bass Version) (Remastered),The Prodigy,312.86812,0,96.732,1,False
SOLRVTS12A8C139D5B,Werther - Lyric Drama in four Acts/Act III/Toute mon âme est là,Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,333.92281,0,158.715,6,False
SOUDEWA12AB018532F,Toby,The Chi Lites,170.70975,1996,149.394,8,True
SONWSOW12A8C13BC80,Danny's All-Star Joint (LP Version),Rickie Lee Jones,246.62159,1979,143.497,1,True
SOWDGVW12A8C13B9B7,Meteor Of War (Album Version),Rancid,81.10975,0,168.752,1,False
SOBHYLB12A8C1424C4,I Love No One But You,Don Gibson,169.63873,1965,123.531,4,True
SOILNCG12A6D4F9D6C,Tem Do de Mim (Live At El Matador_ San Francisco),Sergio Mendes,161.59302,0,179.609,7,False
SOCBUSG12AB0180568,Two Guitars Shuffle (take 1),Lonnie Brooks,351.73832,0,124.471,9,False
SOUGTLE12A8C14547F,Kangaroo Blues,Moon Mullican,173.24363,0,95.278,7,False
SOFPFTF12A8C14172C,Elementro,TEN MADISON,405.41995,2003,92.699,11,True
SOCRSPK12A8C142FF8,Listen,Mykill Miers,236.5122,2006,91.16,11,True
SOXDBMM12A6D4F9C58,Arise_ My Love (Song Of Solomon),Michael Card,208.50893,0,93.542,9,False
SOSUVLO12A8AE487E6,Shame,Anna Abreu,205.45261,2007,143.864,4,True
SOHEWXI12AB018960E,Salvation,Chroma Key,160.31302,2004,120.091,4,True
SODUSRP12A6D4FA762,Till There Was You (John Creamer & Stephane K Remix),Rachael Starr,608.23465,2005,127.996,11,True
SOCYTTZ12A8C1316EC,What If I Forget The Champagne,Stanley Clarke,312.76363,1998,123.352,7,True
SOQMROZ12AF729B758,In Fate's Hands (Album Version),The Red Jumpsuit Apparatus,208.79628,2006,199.004,0,True
SOFUNWZ12AB01831A9,A história do incêndio do jequitibá de Carangola (Part 1),Hélio Ziskind,143.67302,0,128.636,6,False
SOKWBGF12AC3DFB033,East West,Thomas Battenstein,342.20363,0,134.132,5,False
SOWZVLJ12A58A7C2C8,Jesus_ Lover Of My Soul (Bonus Stereo Trax),Passion,253.41342,0,114.303,10,False
SOVTFUO12A6310D813,The Invasion (Aka Black Wa Da Da),Burning Spear,334.31465,2001,146.392,9,True
SOIVZJD12AB0182EDD,Heal (The Separation) [PM Dawn Alt. Lead Mix],The Shamen,280.31955,1996,109.96,10,True
SOHKXAC12A58A7F6E5,IV,From Autumn To Ashes,147.64363,2002,97.169,4,True
SOKHYFG12A63110822,Rock The House (Explicit),Gorillaz,249.93914,2001,171.918,1,True
SOUEARP12A58A7D643,Tables Turn,Ann Nesby,243.01669,2007,88.008,11,True
SOEFJXQ12A670200C8,Carol of the Bells (Album Version),Danny Wright,240.53506,0,95.995,7,False
SOHBHOE12AB01840A9,La petite boite en fer,Mademoiselle Sane,217.62567,2007,63.154,11,True
SOMVAUS12AB017D665,Motivator,Midwest Product,301.73995,2003,141.002,10,True
SOMSPYS12A6D4FEDBB,Neglected,Marygold,225.09669,0,133.857,7,False
SOFZXTF12AB018D64B,This Ain't A Love Song,Bon Jovi,432.97914,0,91.775,8,False
SOSAXES12AC3DF68E7,Dontchaletmecatchya,The Wiyos,186.30485,2009,192.831,7,True
